filename,face_identity_score,clip_score,brisque_score,time,
WOMEN-Leggings-id_00001412-01_1_front,0.597598219,0.270249546,18.09381104,36.93582192,
MEN-Tees_Tanks-id_00005939-01_7_additional,0.442613596,0.313036799,20.05065918,36.42881719,
MEN-Tees_Tanks-id_00004706-01_4_full,0.630460972,0.294855773,31.88574219,35.92313391,
MEN-Tees_Tanks-id_00002317-01_4_full,0.648478413,0.28023082,22.91253662,36.32559313,
WOMEN-Sweaters-id_00000832-04_4_full,0.473643535,0.303376824,13.55438232,39.07870792,
WOMEN-Dresses-id_00006168-09_4_full,0.491868788,0.268253505,28.14599609,38.27901986,
WOMEN-Dresses-id_00005739-02_4_full,0.550159955,0.257738709,13.74761963,37.95392852,
WOMEN-Dresses-id_00005114-01_4_full,0.742115104,0.226841718,24.82299805,36.71986443,
MEN-Shirts_Polos-id_00000712-02_4_full,0.751129651,0.293414235,27.269104,37.45066367,
WOMEN-Blouses_Shirts-id_00006513-02_4_full,0.469740594,0.246686056,20.32354736,37.24116818,
WOMEN-Shorts-id_00001913-04_4_full,0.451025882,0.287814736,11.1729126,38.69567357,
WOMEN-Shorts-id_00005692-01_4_full,0.674569631,0.295963943,17.44268799,42.62171783,
WOMEN-Dresses-id_00007724-01_2_side,0.539601231,0.325946093,12.88354492,285.3361717,
MEN-Tees_Tanks-id_00007937-01_7_additional,0.609191322,0.305661798,23.003479,59.29121696,
WOMEN-Blouses_Shirts-id_00001057-02_7_additional,0.518734658,0.241983533,34.00152588,46.58126727,
WOMEN-Cardigans-id_00005164-01_4_full,0.624431157,0.257581711,18.14855957,56.26114103,
WOMEN-Shorts-id_00007291-01_4_full,0.541951978,0.250477612,11.6519165,62.91581497,
WOMEN-Tees_Tanks-id_00002151-07_4_full,0.655480319,0.260512024,39.41540527,50.36088532,
WOMEN-Dresses-id_00005946-01_1_front,0.508241975,0.29493624,23.83789063,50.32025576,
WOMEN-Cardigans-id_00005303-04_7_additional,0.594212616,0.230713636,43.20507813,60.05694104,
